Analysis,Well,Sample,Excluded,Tm,Call,dTm,Slope,Initial,Low,Peak,Message
Program - SYPRO Orange - All Samples,D13,Sample 85,FALSE,66.23994491,Positive,,0.590107006,30.41595105,20.44917303,23.87367509,
Program - SYPRO Orange - All Samples,D14,Sample 86,FALSE,64.39525694,Positive,,0.227389195,28.17423629,19.95867197,21.36096206,
Program - SYPRO Orange - All Samples,D15,Sample 87,FALSE,66.25916133,Positive,,0.330618206,24.57037566,18.33631653,20.59388846,
Program - SYPRO Orange - All Samples,D16,Sample 88,FALSE,66.89637393,Positive,,0.335986726,26.86473838,16.79261313,18.67843148,
Program - SYPRO Orange - All Samples,D17,Sample 89,FALSE,66.54556603,Positive,,0.595089192,27.16788496,19.07903565,22.86505073,
Program - SYPRO Orange - All Samples,D18,Sample 90,FALSE,66.63982644,Positive,,0.501295378,26.341219,17.68906625,20.76233181,
Program - SYPRO Orange - All Samples,D19,Sample 91,FALSE,66.54185814,Positive,,0.496922904,26.34950404,17.34199661,20.195127,
Program - SYPRO Orange - All Samples,D20,Sample 92,FALSE,66.85217317,Positive,,0.486004755,27.67853905,18.37888988,21.02073137,
Program - SYPRO Orange - All Samples,D21,Sample 93,FALSE,66.66246287,Positive,,0.668317628,31.20340743,22.87289752,27.01320633,
Program - SYPRO Orange - All Samples,D22,Sample 94,FALSE,66.15649113,Positive,,0.316422106,27.57288889,18.96218072,20.80638363,
Program - SYPRO Orange - All Samples,D23,Sample 95,FALSE,65.6944678,Positive,,0.314828847,28.69210822,20.01772516,21.978876,
Program - SYPRO Orange - All Samples,D24,Sample 96,FALSE,65.6805626,Positive,,0.260649718,28.90589946,19.88486144,21.56647713,
Program - SYPRO Orange - All Samples,E01,Sample 97,FALSE,66.25845329,Positive,,0.377210385,19.00383628,16.09146497,18.45972936,
Program - SYPRO Orange - All Samples,E02,Sample 98,FALSE,64.93640806,Positive,,0.320187767,32.08270556,23.00657687,25.18405474,
